,Наименование,Описание,Цена,Ссылка
0,"""REZARK"" Серия ""Дорожно-строительная техника"" грейдер REZARK",,585,https://www.wildberries.ru/catalog/20888824/detail.aspx?targetUrl=BP
1,"""UNO"" Карты УНО Игра настольная карточная UNO BABY LVENOK",,128,https://www.wildberries.ru/catalog/95822013/detail.aspx?targetUrl=BP
2,"""Вувузелла"" 23*6*6 см Сималенд",,349,https://www.wildberries.ru/catalog/13770567/detail.aspx?targetUrl=BP
3,"""Гонка жуков"" с 1 машинокй и пусковым механизмом Bugs Racings",,448,https://www.wildberries.ru/catalog/41666512/detail.aspx?targetUrl=BP
4,"""Гоночный автомобиль ЭВО Ллойда"" 71763 LEGO",,3986,https://www.wildberries.ru/catalog/124999092/detail.aspx?targetUrl=BP
5,- Перекресток LEGO,,2790,https://www.wildberries.ru/catalog/96179681/detail.aspx?targetUrl=BP
6,"1 Toy Transcar Double Вульф-трак, 8 см 1Toy",,442,https://www.wildberries.ru/catalog/42596685/detail.aspx?targetUrl=BP
7,1 шт игрушки мялки сквиши антистресс гусеница Anshery,,310,https://www.wildberries.ru/catalog/144948965/detail.aspx?targetUrl=BP
8,1 шт игрушки мялки сквиши антистресс рыба зеленая Anshery,,240,https://www.wildberries.ru/catalog/144965292/detail.aspx?targetUrl=BP
9,"1.5 л, распылитель для цветов, теплиц Опрыскиватель садовый",,411,https://www.wildberries.ru/catalog/66044549/detail.aspx?targetUrl=BP
11,10 Series 10265 Ford Mustang LEGO,,10499,https://www.wildberries.ru/catalog/136827142/detail.aspx?targetUrl=BP
12,10 Series 10279 Фургон Volkswagen T2 Camper LEGO,,13439,https://www.wildberries.ru/catalog/136827128/detail.aspx?targetUrl=BP
13,"10 Series 10292 Квартиры героев сериала ""Друзья LEGO",,21999,https://www.wildberries.ru/catalog/136827162/detail.aspx?targetUrl=BP
14,10 Series 43179 Микки Маус и Минни Маус LEGO,,13799,https://www.wildberries.ru/catalog/136827135/detail.aspx?targetUrl=BP
